"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030102a Grünerløkka";"26 years";2137
"030102a Grünerløkka";"27 years";2340
"030102a Grünerløkka";"28 years";2474
"030102a Grünerløkka";"29 years";2540
"030102a Grünerløkka";"30 years";2518
"030102a Grünerløkka";"31 years";2468
"030102a Grünerløkka";"32 years";2248
"030102a Grünerløkka";"33 years";2060
"030102a Grünerløkka";"34 years";1820
"030102a Grünerløkka";"35 years";1634
"030102a Grünerløkka";"36 years";1429
"030102a Grünerløkka";"37 years";1327
"030102a Grünerløkka";"38 years";1246
"030102a Grünerløkka";"39 years";1216
"030102a Grünerløkka";"40 years";1006
"030102a Grünerløkka";"41 years";1082
"030102a Grünerløkka";"42 years";881
"030102a Grünerløkka";"43 years";898
"030102a Grünerløkka";"44 years";771
"030102a Grünerløkka";"45 years";765
"030102a Grünerløkka";"46 years";770
"030102a Grünerløkka";"47 years";728
"030102a Grünerløkka";"48 years";672
"030102a Grünerløkka";"49 years";690
"030102a Grünerløkka";"50 years";638
"030102a Grünerløkka";"51 years";659
"030102a Grünerløkka";"52 years";597
"030102a Grünerløkka";"53 years";523
"030102a Grünerløkka";"54 years";526
"030102a Grünerløkka";"55 years";535
"030102a Grünerløkka";"56 years";452
"030102a Grünerløkka";"57 years";464
"030102a Grünerløkka";"58 years";451
"030102a Grünerløkka";"59 years";434
"030102a Grünerløkka";"60 years";398
"030102a Grünerløkka";"61 years";374
"030102a Grünerløkka";"62 years";360
"030102a Grünerløkka";"63 years";335
"030102a Grünerløkka";"64 years";330
"030102a Grünerløkka";"65 years";363
"030102a Grünerløkka";"66 years";293
"030102a Grünerløkka";"67 years";323
"030102a Grünerløkka";"68 years";296
"030102a Grünerløkka";"69 years";263
"030102a Grünerløkka";"70 years";216
"030102a Grünerløkka";"71 years";236
"030102a Grünerløkka";"72 years";245
"030102a Grünerløkka";"73 years";211
"030102a Grünerløkka";"74 years";195
"030102a Grünerløkka";"75 years";199
"030102a Grünerløkka";"76 years";164
"030102a Grünerløkka";"77 years";175
"030102a Grünerløkka";"78 years";137
"030102a Grünerløkka";"79 years";112
"030102a Grünerløkka";"80 years";78
"030102a Grünerløkka";"81 years";102
