"region"	"age"	"Persons 2020"
"K-3004 Fredrikstad"	"20 years"	1020
"K-3004 Fredrikstad"	"21 years"	977
"K-3004 Fredrikstad"	"22 years"	1032
"K-3004 Fredrikstad"	"23 years"	1036
"K-3004 Fredrikstad"	"24 years"	1000
"K-3004 Fredrikstad"	"25 years"	980
"K-3004 Fredrikstad"	"26 years"	1026
"K-3004 Fredrikstad"	"27 years"	985
"K-3004 Fredrikstad"	"28 years"	994
"K-3004 Fredrikstad"	"29 years"	1027
"K-3004 Fredrikstad"	"30 years"	1045
"K-3004 Fredrikstad"	"31 years"	994
"K-3004 Fredrikstad"	"32 years"	1033
"K-3004 Fredrikstad"	"33 years"	1007
"K-3004 Fredrikstad"	"34 years"	962
"K-3004 Fredrikstad"	"35 years"	964
"K-3004 Fredrikstad"	"36 years"	993
"K-3004 Fredrikstad"	"37 years"	931
"K-3004 Fredrikstad"	"38 years"	933
"K-3004 Fredrikstad"	"39 years"	960
"K-3004 Fredrikstad"	"40 years"	999
"K-3004 Fredrikstad"	"41 years"	1054
"K-3004 Fredrikstad"	"42 years"	1007
"K-3004 Fredrikstad"	"43 years"	1010
"K-3004 Fredrikstad"	"44 years"	1065
"K-3004 Fredrikstad"	"45 years"	1163
"K-3004 Fredrikstad"	"46 years"	1206
"K-3004 Fredrikstad"	"47 years"	1200
"K-3004 Fredrikstad"	"48 years"	1176
"K-3004 Fredrikstad"	"49 years"	1293
"K-3004 Fredrikstad"	"50 years"	1294
"K-3004 Fredrikstad"	"51 years"	1308
"K-3004 Fredrikstad"	"52 years"	1254
"K-3004 Fredrikstad"	"53 years"	1172
"K-3004 Fredrikstad"	"54 years"	1223
"K-3004 Fredrikstad"	"55 years"	1187
"K-3004 Fredrikstad"	"56 years"	1159
"K-3004 Fredrikstad"	"57 years"	1135
"K-3004 Fredrikstad"	"58 years"	1065
"K-3004 Fredrikstad"	"59 years"	1013
"K-3004 Fredrikstad"	"60 years"	1029
"K-3004 Fredrikstad"	"61 years"	1054
"K-3004 Fredrikstad"	"62 years"	1001
"K-3004 Fredrikstad"	"63 years"	1095
"K-3004 Fredrikstad"	"64 years"	952
"K-3004 Fredrikstad"	"65 years"	1000
"K-3004 Fredrikstad"	"66 years"	948
"K-3004 Fredrikstad"	"67 years"	906
"K-3004 Fredrikstad"	"68 years"	865
"K-3004 Fredrikstad"	"69 years"	892
"K-3004 Fredrikstad"	"70 years"	861
"K-3004 Fredrikstad"	"71 years"	856
"K-3004 Fredrikstad"	"72 years"	949
"K-3004 Fredrikstad"	"73 years"	944
"K-3004 Fredrikstad"	"74 years"	790
"K-3004 Fredrikstad"	"75 years"	742
"K-3004 Fredrikstad"	"76 years"	632
"K-3004 Fredrikstad"	"77 years"	570
"K-3004 Fredrikstad"	"78 years"	435
"K-3004 Fredrikstad"	"79 years"	510
"K-3004 Fredrikstad"	"80 years"	450
"K-3004 Fredrikstad"	"81 years"	440
"K-3004 Fredrikstad"	"82 years"	431
"K-3004 Fredrikstad"	"83 years"	364
"K-3004 Fredrikstad"	"84 years"	309
"K-3004 Fredrikstad"	"85 years"	280
"K-3004 Fredrikstad"	"86 years"	262
"K-3004 Fredrikstad"	"87 years"	239
"K-3004 Fredrikstad"	"88 years"	201
"K-3004 Fredrikstad"	"89 years"	171
"K-3004 Fredrikstad"	"90 years"	166
"K-3004 Fredrikstad"	"91 years"	127
"K-3004 Fredrikstad"	"92 years"	81
"K-3004 Fredrikstad"	"93 years"	91
"K-3004 Fredrikstad"	"94 years"	63
"K-3004 Fredrikstad"	"95 years"	48
"K-3004 Fredrikstad"	"96 years"	29
"K-3004 Fredrikstad"	"97 years"	22
"K-3004 Fredrikstad"	"98 years"	13
"K-3004 Fredrikstad"	"99 years"	10
"K-3004 Fredrikstad"	"100 years"	4
"K-3004 Fredrikstad"	"101 years"	3
"K-3004 Fredrikstad"	"102 years"	1
"K-3004 Fredrikstad"	"103 years"	1
"K-3004 Fredrikstad"	"104 years"	1
"K-3004 Fredrikstad"	"105 years or older"	0
"K-3005 Drammen"	"0 years"	996
"K-3005 Drammen"	"1 year"	1032
"K-3005 Drammen"	"2 years"	1112
"K-3005 Drammen"	"3 years"	1096
"K-3005 Drammen"	"4 years"	1117
"K-3005 Drammen"	"5 years"	1143
"K-3005 Drammen"	"6 years"	1118
"K-3005 Drammen"	"7 years"	1161
"K-3005 Drammen"	"8 years"	1208
"K-3005 Drammen"	"9 years"	1154
"K-3005 Drammen"	"10 years"	1276
"K-3005 Drammen"	"11 years"	1284
"K-3005 Drammen"	"12 years"	1198
