"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2021"
"030103a Sagene";"63 years";289
"030103a Sagene";"64 years";274
"030103a Sagene";"65 years";261
"030103a Sagene";"66 years";264
"030103a Sagene";"67 years";268
"030103a Sagene";"68 years";244
"030103a Sagene";"69 years";215
"030103a Sagene";"70 years";217
"030103a Sagene";"71 years";224
"030103a Sagene";"72 years";190
"030103a Sagene";"73 years";208
"030103a Sagene";"74 years";199
"030103a Sagene";"75 years";204
"030103a Sagene";"76 years";183
"030103a Sagene";"77 years";134
"030103a Sagene";"78 years";139
"030103a Sagene";"79 years";84
"030103a Sagene";"80 years";79
"030103a Sagene";"81 years";72
"030103a Sagene";"82 years";65
"030103a Sagene";"83 years";65
"030103a Sagene";"84 years";57
"030103a Sagene";"85 years";44
"030103a Sagene";"86 years";37
"030103a Sagene";"87 years";38
"030103a Sagene";"88 years";32
"030103a Sagene";"89 years";30
"030103a Sagene";"90 years";25
"030103a Sagene";"91 years";20
"030103a Sagene";"92 years";19
"030103a Sagene";"93 years";22
"030103a Sagene";"94 years";12
"030103a Sagene";"95 years";19
"030103a Sagene";"96 years";15
"030103a Sagene";"97 years";11
"030103a Sagene";"98 years";5
"030103a Sagene";"99 years";4
"030103a Sagene";"100 years";9
"030103a Sagene";"101 years";1
"030103a Sagene";"102 years";2
"030103a Sagene";"103 years";1
"030103a Sagene";"104 years";3
"030103a Sagene";"105 years or older";1
"030104a St. Hanshaugen";"0 years";474
"030104a St. Hanshaugen";"1 year";432
"030104a St. Hanshaugen";"2 years";332
"030104a St. Hanshaugen";"3 years";292
"030104a St. Hanshaugen";"4 years";254
"030104a St. Hanshaugen";"5 years";252
"030104a St. Hanshaugen";"6 years";249
"030104a St. Hanshaugen";"7 years";252
"030104a St. Hanshaugen";"8 years";249
"030104a St. Hanshaugen";"9 years";217
"030104a St. Hanshaugen";"10 years";212
"030104a St. Hanshaugen";"11 years";212
"030104a St. Hanshaugen";"12 years";203
"030104a St. Hanshaugen";"13 years";215
"030104a St. Hanshaugen";"14 years";176
"030104a St. Hanshaugen";"15 years";180
"030104a St. Hanshaugen";"16 years";167
"030104a St. Hanshaugen";"17 years";198
"030104a St. Hanshaugen";"18 years";185
"030104a St. Hanshaugen";"19 years";303
"030104a St. Hanshaugen";"20 years";431
"030104a St. Hanshaugen";"21 years";706
"030104a St. Hanshaugen";"22 years";738
"030104a St. Hanshaugen";"23 years";976
"030104a St. Hanshaugen";"24 years";1156
"030104a St. Hanshaugen";"25 years";1351
"030104a St. Hanshaugen";"26 years";1538
"030104a St. Hanshaugen";"27 years";1496
"030104a St. Hanshaugen";"28 years";1520
"030104a St. Hanshaugen";"29 years";1533
"030104a St. Hanshaugen";"30 years";1357
"030104a St. Hanshaugen";"31 years";1308
"030104a St. Hanshaugen";"32 years";1183
"030104a St. Hanshaugen";"33 years";1052
"030104a St. Hanshaugen";"34 years";984
"030104a St. Hanshaugen";"35 years";872
"030104a St. Hanshaugen";"36 years";776
"030104a St. Hanshaugen";"37 years";689
"030104a St. Hanshaugen";"38 years";622
"030104a St. Hanshaugen";"39 years";641
"030104a St. Hanshaugen";"40 years";576
"030104a St. Hanshaugen";"41 years";530
"030104a St. Hanshaugen";"42 years";547
"030104a St. Hanshaugen";"43 years";453
"030104a St. Hanshaugen";"44 years";429
"030104a St. Hanshaugen";"45 years";459
"030104a St. Hanshaugen";"46 years";453
"030104a St. Hanshaugen";"47 years";445
"030104a St. Hanshaugen";"48 years";425
"030104a St. Hanshaugen";"49 years";424
"030104a St. Hanshaugen";"50 years";413
"030104a St. Hanshaugen";"51 years";369
"030104a St. Hanshaugen";"52 years";386
"030104a St. Hanshaugen";"53 years";372
"030104a St. Hanshaugen";"54 years";390
"030104a St. Hanshaugen";"55 years";339
